by_prod,code,name
barley brewers grain,A.04.02.013,Soya beans flour
fish meal,A.07.01.004,Anchovy (Engraulis)
luzern meal,A.01.03.004.004,Cornmeal
maize gluten meal,A.01.03.004.004,Cornmeal
milling by-products from oats,A.01.03.005.001,Oat bran
"milling by-products from wheat, barley or rye",A.01.03.001.008,Wheat bran
palm kernel expeller,A.04.02.013,Soya beans flour
potatoe protein,A.04.02.013,Soya beans flour
rapeseed cake,A.04.02.013,Soya beans flour
rapeseed meal,A.04.02.013,Soya beans flour
soybean meal,A.04.02.013,Soya beans flour
soybean protein concentrate,A.04.02.013y,Soya beans Protein Isolate
sugar beet molasses,A.10.06.001,Molasses
sugar beet pulp,A.10.06.001,Molasses
sunflower seed meal,A.04.02.013,Soya beans flour
wheat distillers grain,A.04.02.013,Soya beans flour
