Compliance,"Origin, meat",Substitute,"cattle, beef","cattle, dairy",horses,pigs,"poultry, broiler","poultry, layer",sheep
BL,2016-2020,,0.4815488840075873,0.6963400843447088,0.2844000092413317,0.3003568722449952,0.10556772783393409,0.13293003283170715,0.04331844061153446
BL,2023,,0.4572104847684605,0.6963400843444459,0.2844000105106849,0.2907713877579882,0.11030276419600905,0.1329300328316926,0.03954369793334253
5%,CMS,C,0.44169435489678244,0.6963400843437223,0.2844000112715021,0.28619074260837607,0.11365541757764411,0.13293003283167765,0.03907913464556409
5%,CMS,PB,0.4416943548988912,0.6963400843446971,0.284400011338947,0.286190742608376,0.11030276419600925,0.13293003283168742,0.03907913696245422
5%,CMS+AP,PB,0.441694354898326,0.696340084344376,0.2844000115358988,0.28619074260837574,0.11030276419600939,0.13293003283167937,0.03907918960477362
5%,SE,C,0.465920196393755,0.696340084342583,0.2844000099769663,0.2882447897069854,0.11365541757764434,0.13293003283168775,0.041394948189833726
5%,SE,PB,0.4659201963979943,0.696340084342784,0.2844000100352275,0.28824478970698525,0.11030276419600914,0.13293003283168825,0.041394950418145886
5%,SE-all,C,1.1379450395990574,0.6963400843447101,0.28440000000000054,0.34522405622240776,0.11365541757764419,0.13293003283169838,0.10470096890913709
5%,SE-all,PB,1.137945039599002,0.6963400843447092,0.2844000000000003,0.34522405622240765,0.11030276419600929,0.13293003283168645,0.1047009689091183
30%,CMS,C,0.36411370554134825,0.6963400843447106,0.28440001506586965,0.2632875168603155,0.13041868448581867,0.1329300328316608,0.03671536675521428
30%,CMS,PB,0.36411370554134725,0.6963400843447017,0.2844000160119615,0.2632875168603155,0.1103027641960091,0.13293003283168883,0.0367223030188154
30%,CMS+AP,PB,0.3641137055384411,0.6963400843440155,0.28440001738348986,0.2632875168603153,0.11030276419600928,0.13293003283168905,0.036800076083654674
30%,SE,C,0.5094687545145514,0.6963400843434278,0.28440000776673136,0.27561179945197123,0.13041868448581864,0.13293003283166635,0.050115700270771474
30%,SE,PB,0.5094687545387382,0.6963400843424418,0.28440000828082546,0.2756117994519714,0.11030276419600876,0.1329300328316921,0.05011570027012692
30%,SE-all,C,1.0046449547923602,0.6963400843447116,0.2844000000260741,0.31759652214754575,0.13041868448581873,0.1329300328316922,0.09709877639416983
30%,SE-all,PB,1.0046449547923337,0.696340084344711,0.28440000002768256,0.317596522147546,0.11030276419600916,0.13293003283169283,0.09709877639418799
